emotion ,language,song,youtubelink,spotifylink
sad,Malayalam,Oru Raathri Koodi – Summer in Bethlehem,https://www.youtube.com/watch?v=QFjRngOc9Fg,
angry,Malayalam,Chenthamara Poovu – Ayyappanum Koshiyum,https://www.youtube.com/watch?v=u1jekAhqIwo,https://open.spotify.com/track/7xz68xXgMsYayvSJB3FUeR
angry,Malayalam,Aaro Nenjil – Lucifer,https://www.youtube.com/watch?v=Ymlxgab2gW8,https://open.spotify.com/track/0Kw9oXMBFMj9hjj54JqwPm
angry,Malayalam,Thaniye Mizhikal – Bhayanakam,https://www.youtube.com/watch?v=Gws8LJG4qIk,
angry,Malayalam,Kalapakkaara – King of Kotha,https://www.youtube.com/watch?v=CZslZfayCwU,https://open.spotify.com/track/2MkqosYhKD8cgzXGSZ3hGy
angry,Malayalam,Padachone Ingalu – Thallumaala,https://www.youtube.com/watch?v=Si_UuSOt5wI,https://open.spotify.com/track/3bHBlVd7Lo1UENXiy6mM5G
neutral,Malayalam,Manathe Chandanakkeeru – Dasharatham,https://www.youtube.com/watch?v=LTFj0b10m0k,
neutral,Malayalam,Thenum Vayambhum – Bharatham,https://www.youtube.com/watch?v=6idlv44Z6SA,
neutral,Malayalam,Oru Pushpam Mathramen – Pareeksha,https://www.youtube.com/watch?v=u93MUGzqsnk,
neutral,Malayalam,Mounam Swaramayi – Azhakiya Ravanan,https://www.youtube.com/watch?v=twzniZi8XkQ,
neutral,Malayalam,Pramadavanam – His Highness Abdullah,https://www.youtube.com/watch?v=C6vxb-znaQg,https://open.spotify.com/track/4pqcmsQI0FX4THOldOjdgu
surprised,English,Surprise – Chlöe,https://www.youtube.com/watch?v=IyOcMwTgPMw,https://open.spotify.com/track/5gWCLW6fYhW6qstY2tI0fU
surprised,English,Disaster – JoJo,https://www.youtube.com/watch?v=L6zI3vB3jHQ,https://open.spotify.com/track/6aCbsmoGa6Ls5MD86XQcto
surprised,English,Faded – Alan Walker,https://www.youtube.com/watch?v=60ItHLz5WEA,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
surprised,English,Sing Me to Sleep – Alan Walker,https://www.youtube.com/watch?v=2iYdO7lvf2I,https://open.spotify.com/track/4sXPTSLBPQ0Y5QhSSjMd0y
surprised,English,Undressed – Sombr,https://www.youtube.com/watch?v=AuIwWc4hAyc,https://open.spotify.com/track/6jRbGeQvEaKl7xDMvvYoz5
